,std_ID,cs_ID,cg_ID,semestre,moyenne,grade,grade_ECTS,lieu,time_id
440,45,1,0,S2,20.0,au dessus,A,Nantes,0
441,45,3,1,S2,20.0,au dessus,A,Nantes,0
442,45,9,3,S1,13.333,au dessus,B,Nantes,1
443,45,10,3,S2,15.0,au dessus,A,Nantes,0
444,45,11,3,S1,16.667,au dessus,A,Nantes,1
445,45,12,3,S2,10.0,atteint,A,Nantes,0
446,45,13,3,S1,10.0,atteint,C,Nantes,1
447,45,14,3,S2,15.0,au dessus,A,Nantes,0
448,46,0,0,S2,20.0,au dessus,A,Nantes,0
449,46,1,0,S2,20.0,au dessus,A,Nantes,0
450,46,3,1,S2,20.0,au dessus,A,Nantes,0
451,46,5,1,S2,0.0,en dessous,F,Nantes,0
452,46,6,2,S2,20.0,au dessus,B,Nantes,0
453,46,7,2,S2,20.0,au dessus,A,Nantes,0
454,46,9,3,S1,10.0,atteint,C,Nantes,1
455,46,10,3,S2,2.5,en dessous,F,Nantes,0
456,46,11,3,S1,3.333,en dessous,F,Nantes,1
457,46,12,3,S2,10.0,atteint,A,Nantes,0
458,46,13,3,S1,0.0,en dessous,F,Nantes,1
459,46,14,3,S2,12.5,au dessus,B,Nantes,0
460,47,0,0,S2,10.0,atteint,B,Nantes,0
461,47,1,0,S2,10.0,atteint,B,Nantes,0
462,47,3,1,S2,10.0,atteint,B,Nantes,0
463,47,5,1,S2,0.0,en dessous,F,Nantes,0
464,47,6,2,S1,0.0,en dessous,F,Nantes,1
465,47,7,2,S1,0.0,en dessous,F,Nantes,1
466,47,9,3,S1,10.0,atteint,C,Nantes,1
467,47,10,3,S2,12.5,au dessus,B,Nantes,0
468,47,11,3,S1,10.0,atteint,C,Nantes,1
469,47,12,3,S2,10.0,atteint,A,Nantes,0
470,47,13,3,S1,10.0,atteint,C,Nantes,1
471,47,14,3,S2,12.5,au dessus,B,Nantes,0
472,48,0,0,S2,10.0,atteint,B,Nantes,0
473,48,1,0,S2,10.0,atteint,B,Nantes,0
474,48,3,1,S2,10.0,atteint,B,Nantes,0
475,48,5,1,S2,0.0,en dessous,F,Nantes,0
476,48,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
477,48,10,3,S2,12.5,au dessus,B,Nantes,0
478,48,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
